model_name,paradigm,surgery,jitter,domain,accuracy,n_trials
Mamba-130M,ssm,control,off,factual,0.375,48
Mamba-130M,ssm,control,off,math,0.0,48
Mamba-130M,ssm,control,on,factual,0.4583333333333333,48
Mamba-130M,ssm,control,on,math,0.0,48
Mamba-130M,ssm,expand,off,factual,0.375,48
Mamba-130M,ssm,expand,off,math,0.0,48
Mamba-130M,ssm,expand,on,factual,0.4375,48
Mamba-130M,ssm,expand,on,math,0.0,48
Mamba-2.8B,ssm,control,off,factual,0.8125,48
Mamba-2.8B,ssm,control,off,math,0.125,48
Mamba-2.8B,ssm,control,on,factual,0.8125,48
Mamba-2.8B,ssm,control,on,math,0.125,48
Mamba-2.8B,ssm,expand,off,factual,0.8125,48
Mamba-2.8B,ssm,expand,off,math,0.10416666666666667,48
Mamba-2.8B,ssm,expand,on,factual,0.8125,48
Mamba-2.8B,ssm,expand,on,math,0.10416666666666667,48
Mamba-370M,ssm,control,off,factual,0.5,48
Mamba-370M,ssm,control,off,math,0.125,48
Mamba-370M,ssm,control,on,factual,0.4791666666666667,48
Mamba-370M,ssm,control,on,math,0.10416666666666667,48
Mamba-370M,ssm,expand,off,factual,0.5,48
Mamba-370M,ssm,expand,off,math,0.08333333333333333,48
Mamba-370M,ssm,expand,on,factual,0.5,48
Mamba-370M,ssm,expand,on,math,0.125,48
Mamba-790M,ssm,control,off,factual,0.375,48
Mamba-790M,ssm,control,off,math,0.0,48
Mamba-790M,ssm,control,on,factual,0.3958333333333333,48
Mamba-790M,ssm,control,on,math,0.0,48
Mamba-790M,ssm,expand,off,factual,0.3958333333333333,48
Mamba-790M,ssm,expand,off,math,0.0,48
Mamba-790M,ssm,expand,on,factual,0.3958333333333333,48
Mamba-790M,ssm,expand,on,math,0.0,48
Nemotron-1.5B-R,reasoning,control,off,factual,0.8125,48
Nemotron-1.5B-R,reasoning,control,off,math,0.125,48
Nemotron-1.5B-R,reasoning,control,on,factual,0.8541666666666666,48
Nemotron-1.5B-R,reasoning,control,on,math,0.14583333333333334,48
Nemotron-1.5B-R,reasoning,expand,off,factual,0.0,48
Nemotron-1.5B-R,reasoning,expand,off,math,0.0625,48
Nemotron-1.5B-R,reasoning,expand,on,factual,0.041666666666666664,48
Nemotron-1.5B-R,reasoning,expand,on,math,0.16666666666666666,48
Qwen2.5-0.5B,transformer,control,off,factual,0.8125,48
Qwen2.5-0.5B,transformer,control,off,math,0.9375,48
Qwen2.5-0.5B,transformer,control,on,factual,0.8958333333333334,48
Qwen2.5-0.5B,transformer,control,on,math,0.9166666666666666,48
Qwen2.5-0.5B,transformer,expand,off,factual,0.375,48
Qwen2.5-0.5B,transformer,expand,off,math,0.5416666666666666,48
Qwen2.5-0.5B,transformer,expand,on,factual,0.3333333333333333,48
Qwen2.5-0.5B,transformer,expand,on,math,0.5416666666666666,48
Qwen2.5-1.5B,transformer,control,off,factual,1.0,48
Qwen2.5-1.5B,transformer,control,off,math,1.0,48
Qwen2.5-1.5B,transformer,control,on,factual,0.9375,48
Qwen2.5-1.5B,transformer,control,on,math,1.0,48
Qwen2.5-1.5B,transformer,expand,off,factual,0.1875,48
Qwen2.5-1.5B,transformer,expand,off,math,0.3125,48
Qwen2.5-1.5B,transformer,expand,on,factual,0.2916666666666667,48
Qwen2.5-1.5B,transformer,expand,on,math,0.2916666666666667,48
Qwen3-0.6B,transformer,control,off,factual,0.5625,48
Qwen3-0.6B,transformer,control,off,math,0.75,48
Qwen3-0.6B,transformer,control,on,factual,0.4791666666666667,48
Qwen3-0.6B,transformer,control,on,math,0.5,48
Qwen3-0.6B,transformer,expand,off,factual,0.2916666666666667,48
Qwen3-0.6B,transformer,expand,off,math,0.4791666666666667,48
Qwen3-0.6B,transformer,expand,on,factual,0.2916666666666667,48
Qwen3-0.6B,transformer,expand,on,math,0.4166666666666667,48
Qwen3-1.7B,transformer,control,off,factual,1.0,48
Qwen3-1.7B,transformer,control,off,math,0.6875,48
Qwen3-1.7B,transformer,control,on,factual,1.0,48
Qwen3-1.7B,transformer,control,on,math,0.7083333333333334,48
Qwen3-1.7B,transformer,expand,off,factual,0.6666666666666666,48
Qwen3-1.7B,transformer,expand,off,math,0.7916666666666666,48
Qwen3-1.7B,transformer,expand,on,factual,0.7083333333333334,48
Qwen3-1.7B,transformer,expand,on,math,0.7916666666666666,48
Zamba2-1.2B,hybrid,control,off,factual,1.0,48
Zamba2-1.2B,hybrid,control,off,math,0.9375,48
Zamba2-1.2B,hybrid,control,on,factual,1.0,48
Zamba2-1.2B,hybrid,control,on,math,0.9375,48
Zamba2-1.2B,hybrid,expand,off,factual,1.0,48
Zamba2-1.2B,hybrid,expand,off,math,0.9375,48
Zamba2-1.2B,hybrid,expand,on,factual,1.0,48
Zamba2-1.2B,hybrid,expand,on,math,0.9375,48
