framework,arch_key,event_id,date_raw,date_added,current_support_level,has_date,valid_event,mid_sample_shock
bnb,mixtral,bnb::mixtral,2024-01-08,2024-01-08,1.0,True,True,True
llamacpp,mixtral,llamacpp::mixtral,2024-01-08,2024-01-08,1.0,True,True,True
tgi,mixtral,tgi::mixtral,2024-01-08,2024-01-08,1.0,True,True,True
vllm,mixtral,vllm::mixtral,2024-01-08,2024-01-08,1.0,True,True,True
awq,mixtral,awq::mixtral,2024-02-01,2024-02-01,1.0,True,True,True
gptq,mixtral,gptq::mixtral,2024-02-01,2024-02-01,1.0,True,True,True
bnb,gemma,bnb::gemma,2024-02-21,2024-02-21,1.0,True,True,True
llamacpp,gemma,llamacpp::gemma,2024-02-21,2024-02-21,1.0,True,True,True
tgi,gemma,tgi::gemma,2024-02-21,2024-02-21,1.0,True,True,True
vllm,gemma,vllm::gemma,2024-02-21,2024-02-21,1.0,True,True,True
awq,gemma,awq::gemma,2024-03-01,2024-03-01,1.0,True,True,True
gptq,gemma,gptq::gemma,2024-03-01,2024-03-01,1.0,True,True,True
bnb,mamba,bnb::mamba,2024-03-05,2024-03-05,0.5,True,True,True
tgi,mamba,tgi::mamba,2024-03-05,2024-03-05,1.0,True,True,True
llamacpp,mamba,llamacpp::mamba,2024-03-08,2024-03-08,1.0,True,True,True
bnb,qwen_moe,bnb::qwen_moe,2024-04-01,2024-04-01,0.5,True,True,True
llamacpp,qwen_moe,llamacpp::qwen_moe,2024-04-01,2024-04-01,1.0,True,True,True
vllm,qwen_moe,vllm::qwen_moe,2024-04-01,2024-04-01,1.0,True,True,True
bnb,cohere,bnb::cohere,2024-04-04,2024-04-04,1.0,True,True,True
gptq,cohere,gptq::cohere,2024-04-04,2024-04-04,1.0,True,True,True
llamacpp,cohere,llamacpp::cohere,2024-04-04,2024-04-04,1.0,True,True,True
tgi,cohere,tgi::cohere,2024-04-04,2024-04-04,1.0,True,True,True
vllm,cohere,vllm::cohere,2024-04-04,2024-04-04,1.0,True,True,True
bnb,jamba,bnb::jamba,2024-04-18,2024-04-18,0.5,True,True,True
awq,phi3,awq::phi3,2024-04-23,2024-04-23,1.0,True,True,True
bnb,phi3,bnb::phi3,2024-04-23,2024-04-23,1.0,True,True,True
gptq,phi3,gptq::phi3,2024-04-23,2024-04-23,1.0,True,True,True
llamacpp,phi3,llamacpp::phi3,2024-04-23,2024-04-23,1.0,True,True,True
tgi,phi3,tgi::phi3,2024-04-23,2024-04-23,1.0,True,True,True
vllm,phi3,vllm::phi3,2024-04-23,2024-04-23,1.0,True,True,True
awq,cohere,awq::cohere,2024-05-01,2024-05-01,0.5,True,True,True
bnb,arctic,bnb::arctic,2024-05-01,2024-05-01,0.5,True,True,True
gptq,qwen_moe,gptq::qwen_moe,2024-05-01,2024-05-01,0.5,True,True,True
vllm,arctic,vllm::arctic,2024-05-01,2024-05-01,0.5,True,True,True
bnb,deepseek_moe,bnb::deepseek_moe,2024-06-01,2024-06-01,0.5,True,True,True
bnb,rene,bnb::rene,2024-06-01,2024-06-01,0.5,True,True,True
llamacpp,arctic,llamacpp::arctic,2024-06-01,2024-06-01,0.5,True,True,True
llamacpp,jamba,llamacpp::jamba,2024-06-01,2024-06-01,1.0,True,True,True
tgi,deepseek_moe,tgi::deepseek_moe,2024-06-01,2024-06-01,0.5,True,True,True
vllm,deepseek_moe,vllm::deepseek_moe,2024-06-01,2024-06-01,1.0,True,True,True
awq,qwen2,awq::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
bnb,qwen2,bnb::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
gptq,qwen2,gptq::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
llamacpp,qwen2,llamacpp::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
tgi,qwen2,tgi::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
vllm,qwen2,vllm::qwen2,2024-06-07,2024-06-07,1.0,True,True,True
awq,gemma2,awq::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
bnb,gemma2,bnb::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
gptq,gemma2,gptq::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
llamacpp,gemma2,llamacpp::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
tgi,gemma2,tgi::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
vllm,gemma2,vllm::gemma2,2024-06-27,2024-06-27,1.0,True,True,True
gptq,deepseek_moe,gptq::deepseek_moe,2024-07-01,2024-07-01,0.5,True,True,True
llamacpp,deepseek_moe,llamacpp::deepseek_moe,2024-07-01,2024-07-01,1.0,True,True,True
vllm,mamba,vllm::mamba,2024-07-01,2024-07-01,1.0,True,True,True
vllm,jamba,vllm::jamba,2024-07-02,2024-07-02,1.0,True,True,True
bnb,mamba2,bnb::mamba2,2024-08-06,2024-08-06,0.5,True,True,True
bnb,falcon_mamba,bnb::falcon_mamba,2024-08-12,2024-08-12,0.5,True,True,True
llamacpp,mamba2,llamacpp::mamba2,2024-09-01,2024-09-01,0.5,True,True,True
llamacpp,rwkv5,llamacpp::rwkv5,2024-09-01,2024-09-01,1.0,True,True,True
llamacpp,rwkv6,llamacpp::rwkv6,2024-09-01,2024-09-01,1.0,True,True,True
awq,nemotron,awq::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
bnb,nemotron,bnb::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
bnb,olmoe,bnb::olmoe,2024-10-01,2024-10-01,0.5,True,True,True
gptq,nemotron,gptq::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
gptq,olmoe,gptq::olmoe,2024-10-01,2024-10-01,0.5,True,True,True
llamacpp,falcon_mamba,llamacpp::falcon_mamba,2024-10-01,2024-10-01,1.0,True,True,True
llamacpp,nemotron,llamacpp::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
llamacpp,olmoe,llamacpp::olmoe,2024-10-01,2024-10-01,1.0,True,True,True
tgi,nemotron,tgi::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
vllm,falcon_mamba,vllm::falcon_mamba,2024-10-01,2024-10-01,1.0,True,True,True
vllm,mamba2,vllm::mamba2,2024-10-01,2024-10-01,0.5,True,True,True
vllm,nemotron,vllm::nemotron,2024-10-01,2024-10-01,1.0,True,True,True
vllm,olmoe,vllm::olmoe,2024-10-01,2024-10-01,1.0,True,True,True
bnb,granite,bnb::granite,2024-10-21,2024-10-21,1.0,True,True,True
gptq,granite,gptq::granite,2024-10-21,2024-10-21,1.0,True,True,True
llamacpp,granite,llamacpp::granite,2024-10-21,2024-10-21,1.0,True,True,True
tgi,granite,tgi::granite,2024-10-21,2024-10-21,1.0,True,True,True
vllm,granite,vllm::granite,2024-10-21,2024-10-21,1.0,True,True,True
bnb,hymba,bnb::hymba,2024-11-01,2024-11-01,0.5,True,True,True
bnb,olmo2,bnb::olmo2,2024-11-01,2024-11-01,1.0,True,True,True
gptq,olmo2,gptq::olmo2,2024-11-01,2024-11-01,1.0,True,True,True
llamacpp,olmo2,llamacpp::olmo2,2024-11-01,2024-11-01,1.0,True,True,True
vllm,olmo2,vllm::olmo2,2024-11-01,2024-11-01,1.0,True,True,True
bnb,rwkv6,bnb::rwkv6,2024-11-24,2024-11-24,0.5,True,True,True
awq,marco_o1,awq::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
awq,qwq,awq::qwq,2024-12-01,2024-12-01,1.0,True,True,True
bnb,marco_o1,bnb::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
bnb,qwq,bnb::qwq,2024-12-01,2024-12-01,1.0,True,True,True
gptq,marco_o1,gptq::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
gptq,qwq,gptq::qwq,2024-12-01,2024-12-01,1.0,True,True,True
llamacpp,marco_o1,llamacpp::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
llamacpp,qwq,llamacpp::qwq,2024-12-01,2024-12-01,1.0,True,True,True
tgi,marco_o1,tgi::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
tgi,qwq,tgi::qwq,2024-12-01,2024-12-01,1.0,True,True,True
vllm,marco_o1,vllm::marco_o1,2024-12-01,2024-12-01,1.0,True,True,True
vllm,qwq,vllm::qwq,2024-12-01,2024-12-01,1.0,True,True,True
awq,falcon3,awq::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
awq,phi4,awq::phi4,2024-12-12,2024-12-12,1.0,True,True,True
bnb,falcon3,bnb::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
bnb,phi4,bnb::phi4,2024-12-12,2024-12-12,1.0,True,True,True
gptq,falcon3,gptq::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
gptq,phi4,gptq::phi4,2024-12-12,2024-12-12,1.0,True,True,True
llamacpp,falcon3,llamacpp::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
llamacpp,phi4,llamacpp::phi4,2024-12-12,2024-12-12,1.0,True,True,True
tgi,falcon3,tgi::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
tgi,phi4,tgi::phi4,2024-12-12,2024-12-12,1.0,True,True,True
vllm,falcon3,vllm::falcon3,2024-12-12,2024-12-12,1.0,True,True,True
vllm,phi4,vllm::phi4,2024-12-12,2024-12-12,1.0,True,True,True
llamacpp,hymba,llamacpp::hymba,2025-01-01,2025-01-01,0.5,True,True,True
vllm,hymba,vllm::hymba,2025-01-01,2025-01-01,0.5,True,True,True
vllm,zamba2,vllm::zamba2,2025-01-15,2025-01-15,1.0,True,True,True
awq,deepseek_r1,awq::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
bnb,deepseek_r1,bnb::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
gptq,deepseek_r1,gptq::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
llamacpp,deepseek_r1,llamacpp::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
tgi,deepseek_r1,tgi::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
vllm,deepseek_r1,vllm::deepseek_r1,2025-01-20,2025-01-20,1.0,True,True,True
bnb,zamba2,bnb::zamba2,2025-01-27,2025-01-27,0.5,True,True,True
bnb,lfm2,bnb::lfm2,2025-02-01,2025-02-01,0.5,True,True,True
bnb,rwkv7,bnb::rwkv7,2025-02-01,2025-02-01,0.5,True,True,True
llamacpp,lfm2,llamacpp::lfm2,2025-02-01,2025-02-01,1.0,True,True,True
llamacpp,rwkv7,llamacpp::rwkv7,2025-02-01,2025-02-01,1.0,True,True,True
llamacpp,zamba2,llamacpp::zamba2,2025-02-01,2025-02-01,1.0,True,True,True
vllm,lfm2,vllm::lfm2,2025-02-01,2025-02-01,1.0,True,True,True
bnb,arwkv7,bnb::arwkv7,2025-03-01,2025-03-01,0.5,True,True,True
bnb,llada,bnb::llada,2025-03-01,2025-03-01,0.5,True,True,True
llamacpp,arwkv7,llamacpp::arwkv7,2025-03-01,2025-03-01,1.0,True,True,True
llamacpp,llada,llamacpp::llada,2025-03-01,2025-03-01,1.0,True,True,True
bnb,gemma3,bnb::gemma3,2025-03-12,2025-03-12,1.0,True,True,True
gptq,gemma3,gptq::gemma3,2025-03-12,2025-03-12,1.0,True,True,True
llamacpp,gemma3,llamacpp::gemma3,2025-03-12,2025-03-12,1.0,True,True,True
tgi,gemma3,tgi::gemma3,2025-03-12,2025-03-12,1.0,True,True,True
vllm,gemma3,vllm::gemma3,2025-03-12,2025-03-12,1.0,True,True,True
bnb,nemotron_h,bnb::nemotron_h,2025-03-18,2025-03-18,0.5,True,True,True
gptq,nemotron_h,gptq::nemotron_h,2025-03-18,2025-03-18,1.0,True,True,True
llamacpp,nemotron_h,llamacpp::nemotron_h,2025-03-18,2025-03-18,1.0,True,True,True
vllm,nemotron_h,vllm::nemotron_h,2025-03-18,2025-03-18,1.0,True,True,True
bnb,llama4_moe,bnb::llama4_moe,2025-04-05,2025-04-05,0.5,True,True,True
gptq,llama4_moe,gptq::llama4_moe,2025-04-05,2025-04-05,0.5,True,True,True
llamacpp,llama4_moe,llamacpp::llama4_moe,2025-04-05,2025-04-05,1.0,True,True,True
tgi,llama4_moe,tgi::llama4_moe,2025-04-05,2025-04-05,0.5,True,True,True
vllm,llama4_moe,vllm::llama4_moe,2025-04-05,2025-04-05,1.0,True,True,True
awq,qwen3,awq::qwen3,2025-04-29,2025-04-29,1.0,True,True,True
bnb,qwen3,bnb::qwen3,2025-04-29,2025-04-29,1.0,True,True,True
gptq,qwen3,gptq::qwen3,2025-04-29,2025-04-29,1.0,True,True,True
llamacpp,qwen3,llamacpp::qwen3,2025-04-29,2025-04-29,1.0,True,True,True
vllm,qwen3,vllm::qwen3,2025-04-29,2025-04-29,1.0,True,True,True
bnb,falcon_h1,bnb::falcon_h1,2025-05-20,2025-05-20,0.5,True,True,True
vllm,falcon_h1,vllm::falcon_h1,2025-05-20,2025-05-20,1.0,True,True,True
bnb,smollm3,bnb::smollm3,2025-06-01,2025-06-01,1.0,True,True,True
gptq,falcon_h1,gptq::falcon_h1,2025-06-01,2025-06-01,1.0,True,True,True
gptq,smollm3,gptq::smollm3,2025-06-01,2025-06-01,1.0,True,True,True
llamacpp,falcon_h1,llamacpp::falcon_h1,2025-06-01,2025-06-01,1.0,True,True,True
llamacpp,smollm3,llamacpp::smollm3,2025-06-01,2025-06-01,1.0,True,True,True
vllm,smollm3,vllm::smollm3,2025-06-01,2025-06-01,1.0,True,True,True
bnb,llada2,bnb::llada2,2025-07-01,2025-07-01,0.5,True,True,True
llamacpp,llada2,llamacpp::llada2,2025-07-01,2025-07-01,1.0,True,True,True
bnb,xlstm,bnb::xlstm,2025-07-25,2025-07-25,0.5,True,True,True
bnb,granite_hybrid,bnb::granite_hybrid,2025-10-01,2025-10-01,0.5,True,True,True
llamacpp,granite_hybrid,llamacpp::granite_hybrid,2025-10-01,2025-10-01,1.0,True,True,True
vllm,granite_hybrid,vllm::granite_hybrid,2025-10-01,2025-10-01,0.5,True,True,True
