model_id,org,family,variant,tier,registry_paradigm,is_quick_test,is_phase_transition,release_date,license,downloads,likes,num_params,num_layers,hidden_size,ffn_size,num_heads,num_kv_heads,head_dim,norm_type,activation,positional_scheme,max_context,sliding_window,vocab_size,num_params_source,ssm_state_size,ssm_conv_kernel,ssm_dt_rank,detected_numeric_keys,detected_numeric_count,has_mamba_key,has_ssm_key,pretrain_tokens,pretrain_tokens_source,tokenizer_type,quant_format_count,quant_formats,hf_api,has_config_json,has_model_card,has_safetensors_index,error_count,has_errors,release_month,release_year,has_ssm_signals,param_b,context_k,log10_params,log10_context,log10_downloads,gqa_ratio,kv_compression,is_gqa,is_mha,ffn_expansion,params_per_layer_m,params_per_head_m,depth_width_ratio,context_per_param,context_per_param_b,downloads_per_param_b,is_long_context_128k,is_extreme_context,has_sliding_window,sliding_window_ratio,pretrain_tokens_suspect,pretrain_tokens_clean,tokens_per_param,has_quant,has_gguf,has_bitsandbytes,has_int8,canonical_head_dim,canonical_norm,canonical_activation,canonical_position,convergence_score,metadata_completeness,inferred_paradigm,taxonomy_gap,explicit_label_disagreement,size_bucket,context_bucket
ibm-granite/granite-4.0-1b,ibm-granite,granite-4.0,1b,tier1,transformer,False,False,2025-10-07,apache-2.0,10358.0,43.0,1631769232.0,40.0,2048.0,4096.0,16.0,4.0,128.0,rmsnorm,silu,rope,131072.0,,100352.0,repo_safetensors_file_sizes,256.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,False,0,False,2025-10-01,2025.0,True,1.631769232,128.0,9.21265873998438,5.11750992628768,4.015317833069116,4.0,0.75,1.0,0.0,2.0,40.794230799999994,101.985577,0.01953125,8.032508361451933e-05,80325.08361451935,6347.711304315119,True,False,False,,False,,,False,False,False,False,True,True,True,True,1.0,0.9230769230769231,hybrid,False,True,1-3B,32k-131k
ibm-granite/granite-4.0-350m,ibm-granite,granite-4.0,350m,tier1,unassigned,False,False,2025-10-07,apache-2.0,9406.0,56.0,352393112.0,28.0,1024.0,2048.0,16.0,4.0,64.0,rmsnorm,silu,rope,32768.0,,100352.0,repo_safetensors_file_sizes,256.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,False,0,False,2025-10-01,2025.0,True,0.352393112,32.0,8.547027410949923,4.515449934959718,3.9734511440249345,4.0,0.75,1.0,0.0,2.0,12.585468285714285,22.0245695,0.02734375,9.298706156322374e-05,92987.06156322375,26691.781648671953,False,False,False,,False,,,False,False,False,False,True,True,True,True,1.0,0.9230769230769231,hybrid,True,False,sub-1B,8k-32k
ibm-granite/granite-4.0-h-1b,ibm-granite,granite-4.0-h,1b,tier1,hybrid,False,False,2025-10-07,apache-2.0,7353.0,136.0,1461564272.0,40.0,1536.0,4096.0,12.0,4.0,128.0,rmsnorm,silu,nope,131072.0,,100352.0,repo_safetensors_file_sizes,128.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,False,0,False,2025-10-01,2025.0,True,1.461564272,128.0,9.164817918127392,5.11750992628768,3.8665236255328437,3.0,0.6666666666666667,1.0,0.0,2.6666666666666665,36.5391068,121.79702266666668,0.026041666666666668,8.967925838843986e-05,89679.25838843986,5030.911155168139,True,False,False,,False,,,False,False,False,False,True,True,True,False,0.75,0.9230769230769231,hybrid,False,False,1-3B,32k-131k
ibm-granite/granite-4.0-h-350m,ibm-granite,granite-4.0-h,350m,tier1,unassigned,False,False,2025-10-07,apache-2.0,4054.0,91.0,340352432.0,32.0,768.0,2048.0,12.0,4.0,64.0,rmsnorm,silu,nope,32768.0,,100352.0,repo_safetensors_file_sizes,128.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,False,0,False,2025-10-01,2025.0,True,0.340352432,32.0,8.531928858217851,4.515449934959718,3.6079908585471747,3.0,0.6666666666666667,1.0,0.0,2.6666666666666665,10.6360135,28.362702666666667,0.041666666666666664,9.627667358639589e-05,96276.67358639589,11911.18270017239,False,False,False,,False,,,False,False,False,False,True,True,True,False,0.75,0.9230769230769231,hybrid,True,False,sub-1B,8k-32k
state-spaces/mamba-1.4b-hf,state-spaces,mamba,1.4b-hf,tier1,ssm,False,False,2024-03-05,,2028.0,15.0,1372178432.0,48.0,2048.0,4096.0,,,,,silu,implicit_recurrence,,,50280.0,hf_api.safetensors.total,16.0,4.0,128.0,conv_kernel|state_size,2,False,False,,,GPTNeoXTokenizer,0,,True,True,True,True,0,False,2024-03-01,2024.0,True,1.372178432,,9.13741058877191,,3.307282047033346,,,,,2.0,28.587050666666666,,0.0234375,,,1477.9419007804374,False,False,False,,False,,,False,False,False,False,False,False,True,False,0.25,0.6153846153846154,ssm,False,False,1-3B,
state-spaces/mamba-370m-hf,state-spaces,mamba,370m-hf,tier1,ssm,True,False,2024-03-06,,4239.0,16.0,371516416.0,48.0,1024.0,2048.0,,,,,silu,implicit_recurrence,,,50280.0,hf_api.safetensors.total,16.0,4.0,64.0,conv_kernel|state_size,2,False,False,,,GPTNeoXTokenizer,0,,True,True,True,False,0,False,2024-03-01,2024.0,True,0.371516416,,8.569978008461874,,3.6273658565927325,,,,,2.0,7.739925333333333,,0.046875,,,11409.993791499108,False,False,False,,False,,,False,False,False,False,False,False,True,False,0.25,0.6153846153846154,ssm,False,False,sub-1B,
state-spaces/mamba-790m-hf,state-spaces,mamba,790m-hf,tier1,ssm,False,False,2024-03-06,,1234.0,4.0,793204224.0,48.0,1536.0,3072.0,,,,,silu,implicit_recurrence,,,50280.0,hf_api.safetensors.total,16.0,4.0,96.0,conv_kernel|state_size,2,False,False,,,GPTNeoXTokenizer,0,,True,True,True,False,0,False,2024-03-01,2024.0,True,0.793204224,,8.899385018260203,,3.0916669575956846,,,,,2.0,16.525088,,0.03125,,,1555.7153664375846,False,False,False,,False,,,False,False,False,False,False,False,True,False,0.25,0.6153846153846154,ssm,False,False,sub-1B,
tiiuae/Falcon-H1-0.5B-Instruct,tiiuae,Falcon-H1,0.5B-Instruct,tier1,hybrid,True,False,2025-05-01,other,991.0,32.0,521411104.0,36.0,1024.0,2048.0,8.0,2.0,64.0,rmsnorm,silu,rope,16384.0,,32784.0,hf_api.safetensors.total,128.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_ssm|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads|ssm_in_multiplier|ssm_multipliers|ssm_out_multiplier,11,True,True,,,PreTrainedTokenizer,1,GGUF,True,True,True,False,0,False,2025-05-01,2025.0,True,0.521411104,16.0,8.71718027569034,4.214419939295737,2.9965116721541785,4.0,0.75,1.0,0.0,2.0,14.483641777777779,65.176388,0.03515625,3.142242248834041e-05,31422.42248834041,1900.6116141324062,False,False,False,,False,,,True,True,False,False,True,True,True,True,1.0,0.9230769230769231,hybrid,False,False,sub-1B,8k-32k
tiiuae/Falcon-H1-1.5B-Instruct,tiiuae,Falcon-H1,1.5B-Instruct,tier1,hybrid,False,False,2025-05-01,other,683.0,17.0,1554863488.0,24.0,2048.0,4608.0,8.0,2.0,128.0,rmsnorm,silu,rope,131072.0,,65537.0,hf_api.safetensors.total,256.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_ssm|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads|ssm_in_multiplier|ssm_multipliers|ssm_out_multiplier,11,True,True,,,PreTrainedTokenizer,1,GGUF,True,True,True,False,0,False,2025-05-01,2025.0,True,1.554863488,128.0,9.191692265381624,5.11750992628768,2.835056101720116,4.0,0.75,1.0,0.0,2.25,64.78597866666667,194.357936,0.01171875,8.429807569061652e-05,84298.0756906165,439.2668586478506,True,False,False,,False,,,True,True,False,False,True,True,True,True,1.0,0.9230769230769231,hybrid,False,False,1-3B,32k-131k
ML-GSAI/LLaDA-8B-Base,ML-GSAI,LLaDA,8B-Base,tier2,unassigned,False,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,diffusion,True,False,,
NX-AI/xLSTM-7b,NX-AI,xLSTM,7b,tier2,xlstm,False,False,2024-12-11,other,652.0,113.0,6865424896.0,,,,8.0,,512.0,,,implicit_recurrence,,,50304.0,hf_api.safetensors.total,,,,mlstm_round_up_to_multiple_of,1,False,False,2300000000000.0,model_card_text,GPTNeoXTokenizer,0,,True,True,True,True,0,False,2024-12-01,2024.0,False,6.865424896,,9.83666742056445,,2.814913181275074,,,,,,,858.178112,,,,94.96863047469567,False,False,False,,False,2300000000000.0,335.0120400180983,False,False,False,False,False,False,False,False,0.0,0.6153846153846154,xlstm,False,False,3-10B,
Qwen/Qwen3-4B,Qwen,Qwen3,4B,tier2,unassigned,False,False,2025-04-27,apache-2.0,5129131.0,552.0,4022468096.0,36.0,2560.0,9728.0,32.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,hf_api.safetensors.total,,,,,0,False,False,131072.0,model_card_text,Qwen2Tokenizer,1,GGUF,True,True,True,True,0,False,2025-04-01,2025.0,False,4.022468096,128.0,9.604492608200253,5.11750992628768,6.7100438759294585,4.0,0.75,1.0,0.0,3.8,111.7352248888889,125.702128,0.0140625,3.2584969444590466e-05,32584.969444590468,1275120.368288435,True,False,False,,True,,,True,True,False,False,True,True,True,True,1.0,1.0,transformer,False,False,3-10B,32k-131k
Qwen/Qwen3-8B,Qwen,Qwen3,8B,tier2,unassigned,False,False,2025-04-27,apache-2.0,4685993.0,936.0,8190735360.0,36.0,4096.0,12288.0,32.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,hf_api.safetensors.total,,,,,0,False,False,131072.0,model_card_text,Qwen2Tokenizer,1,GGUF,True,True,True,True,0,False,2025-04-01,2025.0,False,8.19073536,128.0,9.913322894245605,5.11750992628768,6.670801728185707,4.0,0.75,1.0,0.0,3.0,227.52042666666665,255.96048,0.0087890625,1.6002470381365122e-05,16002.470381365123,572108.9492018456,True,False,False,,True,,,True,True,False,False,True,True,True,True,1.0,1.0,transformer,False,False,3-10B,32k-131k
RWKV-Red-Team/ARWKV-R1-7B,RWKV-Red-Team,ARWKV-R1,7B,tier2,unassigned,False,False,2025-02-07,apache-2.0,16.0,13.0,8265367040.0,28.0,3584.0,18944.0,28.0,4.0,128.0,rmsnorm,silu,rope,32768.0,,152064.0,hf_api.safetensors.total,,,,,0,False,False,2000.0,model_card_text,LlamaTokenizerFast,1,GGUF,True,True,True,True,0,False,2025-02-01,2025.0,False,8.26536704,32.0,9.917262144042647,4.515449934959718,1.2304489213782739,7.0,0.8571428571428572,1.0,0.0,5.285714285714286,295.19168,295.19168,0.0078125,3.964494237390818e-06,3964.494237390818,1.9357882018509853,False,False,False,,True,,,True,True,False,False,True,True,True,True,1.0,1.0,rwkv,True,False,3-10B,8k-32k
Zyphra/Zamba2-2.7B,Zyphra,Zamba2,2.7B,tier2,hybrid,False,False,2024-07-09,apache-2.0,559.0,78.0,2662214560.0,54.0,2560.0,10240.0,32.0,32.0,160.0,rmsnorm,gelu,rope,4096.0,,32000.0,hf_api.safetensors.total,64.0,4.0,,hybrid_layer_ids|mamba_d_conv|mamba_d_state|mamba_expand|mamba_headdim|mamba_ngroups|n_mamba_heads,7,True,False,3000000000000.0,model_card_text,LlamaTokenizer,0,,True,True,True,True,0,False,2024-07-01,2024.0,True,2.66221456,4.0,9.42524305432008,3.612359947967774,2.7481880270062002,1.0,0.0,0.0,1.0,4.0,49.300269629629625,83.194205,0.02109375,1.5385687019907215e-06,1538.5687019907218,209.97556260078454,False,False,False,,False,3000000000000.0,1126.8813735283604,False,False,False,False,False,True,False,True,0.5,1.0,hybrid,False,False,1-3B,<=8k
Zyphra/Zamba2-7B,Zyphra,Zamba2,7B,tier2,unassigned,False,False,2024-09-27,apache-2.0,34.0,114.0,7356749648.0,,,,,,,,,,,,,hf_api.safetensors.total,,,,,0,False,False,2000000000000.0,model_card_text,,0,,True,False,True,False,3,True,2024-09-01,2024.0,False,7.356749648,,9.866685977145924,,1.5440680443502757,,,,,,,,,,,4.621606229218798,False,False,False,,False,2000000000000.0,271.85918995404694,False,False,False,False,False,False,False,False,0.0,0.38461538461538464,ssm,True,False,3-10B,
allenai/Olmo-3-7B,allenai,Olmo-3,7B,tier2,unassigned,False,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,transformer,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,DeepSeek-R1-Distill-Qwen,7B,tier2,unassigned,False,False,2025-01-20,mit,707158.0,787.0,7615616512.0,28.0,3584.0,18944.0,28.0,4.0,128.0,rmsnorm,silu,rope,131072.0,4096.0,152064.0,hf_api.safetensors.total,,,,,0,False,False,32768.0,model_card_text,LlamaTokenizerFast,0,,True,True,True,True,0,False,2025-01-01,2025.0,False,7.615616512,128.0,9.88170506682134,5.11750992628768,5.849517073003415,7.0,0.8571428571428572,1.0,0.0,5.285714285714286,271.986304,271.986304,0.0078125,1.7210950655599396e-05,17210.950655599398,92856.30373926055,True,False,True,0.03125,True,,,False,False,False,False,True,True,True,True,1.0,1.0,reasoning,True,False,3-10B,32k-131k
google/gemma-3-4b-it,google,gemma-3,4b-it,tier2,unassigned,False,False,2025-02-20,gemma,1169176.0,1185.0,4300079472.0,,,,,,,,,,,,,safetensors_index.metadata.total_size,,,,,0,False,False,14000000000000.0,model_card_text,GemmaTokenizer,0,,True,True,True,True,0,False,2025-02-01,2025.0,False,4.300079472,,9.63347648207543,,6.067880263346934,,,,,,,,,,,271896.3701980622,False,False,False,,False,14000000000000.0,3255.753781101281,False,False,False,False,False,False,False,False,0.0,0.46153846153846156,transformer,False,False,3-10B,
ibm-granite/granite-4.0-h-tiny,ibm-granite,granite-4.0,h-tiny,tier2,unassigned,False,False,2025-09-16,apache-2.0,22970.0,189.0,6939037248.0,40.0,1536.0,512.0,12.0,4.0,128.0,rmsnorm,silu,nope,131072.0,,100352.0,safetensors_index.metadata.total_size,128.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,True,0,False,2025-09-01,2025.0,True,6.939037248,128.0,9.841299218742256,5.11750992628768,4.361179901813601,3.0,0.6666666666666667,1.0,0.0,0.3333333333333333,173.4759312,578.253104,0.026041666666666668,1.888907571980222e-05,18889.07571980222,3310.2574866016917,True,False,False,,False,,,False,False,False,False,True,True,True,False,0.75,0.9230769230769231,hybrid,True,False,3-10B,32k-131k
ibm-granite/granite-4.0-micro,ibm-granite,granite-4.0,micro,tier2,unassigned,False,False,2025-09-16,apache-2.0,57865.0,257.0,3402836480.0,40.0,2560.0,8192.0,40.0,8.0,64.0,rmsnorm,silu,rope,131072.0,,100352.0,safetensors_index.metadata.total_size,256.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,True,0,False,2025-09-01,2025.0,True,3.40283648,128.0,9.53184107999797,5.11750992628768,4.76242346269934,5.0,0.8,1.0,0.0,3.2,85.070912,85.070912,0.015625,3.8518453875279957e-05,38518.453875279956,17004.931133217426,True,False,False,,False,,,False,False,False,False,True,True,True,True,1.0,0.9230769230769231,hybrid,True,False,3-10B,32k-131k
ibm-granite/granite-4.0-tiny-preview,ibm-granite,granite-4.0,tiny-preview,tier2,unassigned,False,False,2025-04-30,apache-2.0,25834.0,182.0,6671539776.0,40.0,1536.0,512.0,12.0,4.0,128.0,rmsnorm,silu,nope,131072.0,,49160.0,safetensors_index.metadata.total_size,128.0,4.0,,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads,7,True,False,,,GPT2Tokenizer,0,,True,True,True,True,0,False,2025-04-01,2025.0,True,6.671539776,128.0,9.824226079650455,5.11750992628768,4.4122084658816805,3.0,0.6666666666666667,1.0,0.0,0.3333333333333333,166.78849440000002,555.961648,0.026041666666666668,1.964643911312866e-05,19646.439113128657,3872.2695011029487,True,False,False,,False,,,False,False,False,False,True,True,True,False,0.75,0.9230769230769231,hybrid,True,False,3-10B,32k-131k
microsoft/Phi-4-mini-instruct,microsoft,Phi-4,mini-instruct,tier2,unassigned,False,False,2025-02-19,mit,206123.0,685.0,3836021760.0,32.0,3072.0,8192.0,24.0,8.0,128.0,rmsnorm,silu,rope,6261309.0,262144.0,200064.0,hf_api.safetensors.total,,,,,0,False,False,5000000000000.0,model_card_text,GPT2Tokenizer,0,,True,True,True,True,0,False,2025-02-01,2025.0,False,3.83602176,6114.5595703125,9.58388106205992,6.796665137051926,5.314128561700311,3.0,0.6666666666666667,1.0,0.0,2.6666666666666665,119.87568,159.83424,0.010416666666666666,0.0016322402196175237,1632240.2196175237,53733.53252302719,True,True,True,0.041867283662250177,False,5000000000000.0,1303.433690636833,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,3-10B,>131k
microsoft/Phi-4-mini-reasoning,microsoft,Phi-4,mini-reasoning,tier2,reasoning,False,False,2025-04-29,mit,10187.0,216.0,3836021760.0,32.0,3072.0,8192.0,24.0,8.0,128.0,rmsnorm,silu,rope,6261309.0,262144.0,200064.0,hf_api.safetensors.total,,,,,0,False,False,150000000000.0,model_card_text,GPT2Tokenizer,0,,True,True,True,True,0,False,2025-04-01,2025.0,False,3.83602176,6114.5595703125,9.58388106205992,6.796665137051926,4.0080889362915775,3.0,0.6666666666666667,1.0,0.0,2.6666666666666665,119.87568,159.83424,0.010416666666666666,0.0016322402196175237,1632240.2196175237,2655.6158013034837,True,True,True,0.041867283662250177,False,150000000000.0,39.103010719104994,False,False,False,False,True,True,True,True,1.0,1.0,reasoning,False,False,3-10B,>131k
nvidia/Nemotron-H-4B-Instruct-128K,nvidia,Nemotron-H,4B-Instruct-128K,tier2,unassigned,False,False,2025-04-15,other,27804.0,8.0,4489223040.0,52.0,3072.0,12288.0,32.0,8.0,128.0,rmsnorm,,,131072.0,,131072.0,hf_api.safetensors.total,128.0,4.0,192.0,conv_kernel|mamba_head_dim|mamba_num_heads|ssm_state_size,4,True,True,,,PreTrainedTokenizerFast,0,,True,True,True,True,0,False,2025-04-01,2025.0,True,4.48922304,128.0,9.652171183177307,5.11750992628768,4.444122899412919,4.0,0.75,1.0,0.0,4.0,86.3312123076923,140.28822,0.016927083333333332,2.91970345051067e-05,29197.0345051067,6193.499354400534,True,False,False,,False,,,False,False,False,False,True,True,False,False,0.5,0.9230769230769231,hybrid,True,False,3-10B,32k-131k
